"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780063076198&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DHOW%2BY%2527ALL%2BDOING%253F",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780063076198%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHOW%2BY%2527ALL%2BDOING%253F%2BLeslie%2BJordan%26aff%3DNYT",""
"","","","","","","","","","","","","","","5","3","36","0","0","0143127748","9780143127741","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","0.00","THE BODY KEEPS THE SCORE","Bessel van der Kolk","by Bessel van der Kolk","","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg","128","193","http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20","","","","","","0670785938","9780670785933","Amazon","http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20","nyt://book/e3e33e9d-0e67-5fec-b0d2-2ecddc38ce0e"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0143127748","9780143127741","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+BODY+KEEPS+THE+SCORE&author=Bessel+van+der+Kolk",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1469092352","9781469092355","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143127741",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252FBessel%252Bvan%252Bder%252BKolk%252F9780143127741&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252BBessel%252Bvan%252Bder%252BKolk",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143127741&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143127741%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE%2BBessel%2Bvan%2Bder%2BKolk%26aff%3DNYT",""
"","","","","","","","","","","","","","","6","1","2","0","0","0593136969","9780593136966","Crown","Forty-three portraits by the former president, of men and women who have immigrated to the United States.","0.00","OUT OF MANY, ONE","George W. Bush","by George W. Bush","","https://storage.googleapis.com/du-prd/books/images/9780593136966.jpg","401","500","https://www.amazon.com/dp/0593136969?tag=NYTBSREV-20","","","","","","0593136969","9780593136966","Amazon","https://www.amazon.com/dp/0593136969?tag=NYTBSREV-20","nyt://book/54c4a086-3746-5e5b-af87-c03d29b50aa1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=OUT+OF+MANY%2C+ONE&author=George+W.+Bush",""
