,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
13868,5/19/2012,6/3/2012,,,8.0,62113380,9.78006E+12,A humorous look at sex and love.,I SUCK AT GIRLS,Justin Halpern
13938,5/19/2012,6/3/2012,,,18.0,316185361,9.78032E+12,A Navy SEALs member who was rescued in Afghanistan describes his experience in Iraq.,SERVICE,Marcus Luttrell and James D Hornfischer
14003,11/16/2019,12/1/2019,,,8.0,1524742848,9.78152E+12,A friend and collaborator gives her account of various aspects of her relationship with the late pop star Whitney Houston.,A SONG FOR YOU,Ron Crawford
14027,11/16/2019,12/1/2019,,,12.0,316535761,9.78032E+12,The former U.S. intelligence officer contends that members of the Trump administration have personal and financial ties to Vladimir Putin.,THE PLOT TO BETRAY AMERICA,Malcolm Nance
14039,11/16/2019,12/1/2019,,,14.0,399589651,9.7804E+12,"A memoir by the musician written before his death, with photos and other memorabilia detailing his evolution.",THE BEAUTIFUL ONES,Prince
14051,2/13/2021,2/28/2021,Combined Print & E-Book Nonfiction,15.0,1.0,316429090,9.78032E+12,A collection of interviews with troops who fought overseas.,WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney
14057,2/13/2021,2/28/2021,,,2.0,62931067,9.78006E+12,The late iconic actress describes how she worked to change perceptions of Black women through her career choices.,JUST AS I AM,Cicely Tyson with Michelle Burford
14075,2/13/2021,2/28/2021,,,5.0,593134044,9.78059E+12,A compendium featuring 90 writers covering 400 years of African-American history.,FOUR HUNDRED SOULS,edited  Ibram X. Kendi and Keisha N. Blain
14093,2/13/2021,2/28/2021,,,8.0,154605958X,9.78155E+12,A former writer for the online magazine Quillette gives his perspective on the activist movement antifa.,UNMASKED,Andy Ngo
14111,2/13/2021,2/28/2021,,,11.0,399588582,9.7804E+12,"The writer of the New York Times column “Life, Interrupted” chronicles her fight with cancer and an impactful road trip.",BETWEEN TWO KINGDOMS,Suleika Jaouad
14117,2/13/2021,2/28/2021,,,12.0,1635576059,9.78164E+12,The New York Times cybersecurity reporter describes a malicious and undetectable software bug that is in the hands of hostile nations and mercenaries.,THIS IS HOW THEY TELL ME THE WORLD ENDS,Nicole Perlroth
14135,2/13/2021,2/28/2021,,,15.0,198214386X,9.78198E+12,Aline Griffith worked as a spy who infiltrated high society in Europe during World War II and continued to do so even after marrying the Count of Romanones.,THE PRINCESS SPY,Larry Loftis
14147,6/19/2021,7/4/2021,,,2.0,63078252,9.78006E+12,"The wife of the late Broadway star Nick Cordero recounts his battle with Covid-19 and the hope she found in her infant son, Elvis.",LIVE YOUR LIFE,Amanda Kloots with Anna Kloots
14207,6/19/2021,7/4/2021,,,12.0,593229592,9.78059E+12,"Stories, essays and lyrics that chart the creative journey of the Tony Award-winning musical that is now a motion picture.",IN THE HEIGHTS: FINDING HOME,"Lin-Manuel Miranda, Quiara Alegría Hudes and Jeremy McCarter"
14299,12/9/2017,12/24/2017,,,12.0,1484780426,9.78148E+12,"The ABC News meteorologist discusses her career, relationships and struggles with depression.",NATURAL DISASTER,Ginger Zee
14347,3/7/2020,3/22/2020,,,5.0,62974688,9.78006E+12,The founder of Turning Point U.S.A. espouses some ideas promulgated by President Trump.,THE MAGA DOCTRINE,Charlie Kirk
14414,3/7/2020,3/22/2020,,,15.0,62878816,9.78006E+12,The New York Times finance editor traces the history and illicit dealings of Deutsche Bank.,DARK TOWERS,David Enrich
14511,1/23/2016,2/7/2016,,,15.0,147676381X,9.78148E+12,Republican politics from Goldwater onward.,WHY THE RIGHT WENT WRONG,EJ Dionne Jr
14579,5/23/2020,6/7/2020,,,6.0,593129253,9.78059E+12,A memoir by the former creative director at Vogue and a look at the changes in the fashion industry.,THE CHIFFON TRENCHES,André Leon Talley
14609,5/23/2020,6/7/2020,,,11.0,1546098747,9.78155E+12,"The ""Fox & Friends Weekend"" host gives his take on politics, culture and education.",AMERICAN CRUSADE,Pete Hegseth
14638,5/23/2020,6/7/2020,,,15.0,399562397,9.7804E+12,The president of the Council on Foreign Relations examines challenges to the United States from outside its borders.,THE WORLD,Richard Haass
14832,12/24/2011,1/8/2012,,,15.0,1400049628,9.7814E+12,The comedy writer offers a plan for safeguarding yourself from the living dead.,THE ZOMBIE SURVIVAL GUIDE,Max Brooks
14857,12/24/2011,1/8/2012,,,19.0,399158413,9.7804E+12,Humorous observations on politics and life.,NEW NEW RULES,Maher Bill
14899,1/16/2021,1/31/2021,,,6.0,1984856022,9.78198E+12,A collection of essays examining the functions and importance of works of fiction.,A SWIM IN A POND IN THE RAIN,George Saunders
14905,1/16/2021,1/31/2021,,,7.0,1984801341,9.78198E+12,"The author of “Fantasyland” looks at the economic, cultural and political forces to which he ascribes the undermining and dismantling of the American middle class.",EVIL GENIUSES,Kurt Andersen
14917,1/16/2021,1/31/2021,,,9.0,1538719363,9.78154E+12,A pair of sisters who live in different parts of the country share their perspectives on the absurdities and everyday experiences of racism.,YOU'LL NEVER BELIEVE WHAT HAPPENED TO LACEY,Amber Ruffin and Lacey Lamar
14947,1/16/2021,1/31/2021,,,14.0,1250799120,9.78125E+12,The former F.B.I. director incorporates his experiences into lessons on how the federal justice system functions.,SAVING JUSTICE,James Comey
15047,7/7/2012,7/22/2012,,,14.0,1414338279,9.78141E+12,"When Alonzo was a child, her father, a North Carolina pastor, lost his life in one man’s campaign of terror to drive him from his church.",THE DEVIL IN PEW NUMBER SEVEN,Rebecca Nichols Alonzo with Bob DeMoss
15111,6/2/2018,6/17/2018,,,4.0,1250192455,9.78125E+12,"The former F.B.I. director recounts cases and personal events that shaped his outlook on justice, and analyzes the leadership styles of three presidents.",A HIGHER LOYALTY,James Comey
15123,6/2/2018,6/17/2018,,,6.0,525558640,9.78053E+12,The former director of national intelligence describes events that challenged the intelligence community and considers some ethical questions around its efforts.,FACTS AND FEARS,James R Clapper with Trey Brown
15147,6/2/2018,6/17/2018,,,10.0,1524731633,9.78152E+12,"A look at how American values and democracy have deteriorated, and the people and institutions seeking to reverse this.",TAILSPIN,Steven Brill
15164,6/2/2018,6/17/2018,,,12.0,62748203,9.78006E+12,"A previously unpublished, first-person account of a man who was enslaved 50 years after the slave trade was banned.",BARRACOON,Zora Neale Hurston
15182,6/2/2018,6/17/2018,,,14.0,62319787,9.78006E+12,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer.""",I'LL BE GONE IN THE DARK,Michelle McNamara
15233,10/6/2018,10/21/2018,,,6.0,1501181793,9.7815E+12,The history and cultural significance of women's anger.,GOOD AND MAD,Rebecca Traister
15239,10/6/2018,10/21/2018,,,7.0,1250205565,9.78125E+12,The adult film actress and director recounts her road to the national spotlight and experiences with President Trump.,FULL DISCLOSURE,Stormy Daniels with Kevin Carr O'Leary
15251,10/6/2018,10/21/2018,,,9.0,052553864X,9.78053E+12,A memoir by the international supermodel detailing her childhood in southern Brazil and her career as a fashion icon.,LESSONS,Gisele Bündchen
15257,10/6/2018,10/21/2018,,,10.0,1524762849,9.78152E+12,A memoir by the founder of the nonprofit Charity: Water.,THIRST,Scott Harrison with Lisa Sweetingham
15263,10/6/2018,10/21/2018,,,11.0,1524761389,9.78152E+12,"The son of conservative Christians cycles from Oregon to Patagonia, reconciling his sexuality with his upbringing.",TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins
15269,10/6/2018,10/21/2018,,,12.0,62803700,9.78006E+12,An investigation of the Kremlin’s interference in the 2016 presidential election and the resulting impacts on White House politics.,THE APPRENTICE,Greg Miller
15275,10/6/2018,10/21/2018,,,13.0,1101986670,9.7811E+12,"In a series of intimate conversations between themselves, the authors recount lessons learned from their 18-year romance.",THE GREATEST LOVE STORY EVER TOLD,Megan Mullally and Nick Offerman
15281,10/6/2018,10/21/2018,,,14.0,162157704X,9.78162E+12,The conservative commentator explores the birth and spread of Christianity.,JESUS IS RISEN,David Limbaugh
15390,4/18/2015,5/3/2015,,,14.0,62002767,9.78006E+12,"Women in Washington, D.C., during the Civil War.",CAPITAL DAMES,Cokie Roberts
15408,4/18/2015,5/3/2015,,,17.0,316334316,9.78032E+12,"A memoir by the actress, a star of “Orange Is the New Black.”",BORN WITH TEETH,Kate Mulgrew
15414,4/18/2015,5/3/2015,,,18.0,61980560,9.78006E+12,"Life in the Beatles and beyond, from the author of “Shout!”; first published in 2008.",JOHN LENNON,Philip Norman
15426,4/18/2015,5/3/2015,,,20.0,307594963,9.78031E+12,"Scrutinizing historical and contemporary figures, the author of “Born to Run” discusses what makes a hero and what fitness techniques we can learn from some of them.",NATURAL BORN HEROES,Christopher McDougall
15476,2/28/2015,3/15/2015,,,6.0,62295896,9.78006E+12,A memoir by a founding member of Sonic Youth.,GIRL IN A BAND,Kim Gordon
15488,2/28/2015,3/15/2015,,,8.0,385539002,9.78039E+12,"The world of cybercrime and corporate spying, and advice on protecting yourself.",FUTURE CRIMES,Marc Goodman
15494,2/28/2015,3/15/2015,,,9.0,1941393578,9.78194E+12,An American journalist and a Syrian analyst examine the origins and methods of the terrorist group.,ISIS,Michael Weiss and Hassan Hassan
15506,2/28/2015,3/15/2015,,,11.0,307351920,9.78031E+12,"Intertwined stories of early-20th-century murder and scientific intrigue, by the author of ""The Devil in the White City""; first published in 2006.",THUNDERSTRUCK,Erik Larson
15512,2/28/2015,3/15/2015,,,12.0,553380168,9.78055E+12,The British cosmologist reviews efforts to create a unified theory of the universe; first published in 1988.,A BRIEF HISTORY OF TIME,Stephen Hawking
15531,2/28/2015,3/15/2015,,,15.0,1455527440,9.78146E+12,"A review of the science of — and myths about — aging, and advice on how to live longer.",SPRING CHICKEN,Bill Gifford
15546,2/28/2015,3/15/2015,,,17.0,62379119,9.78006E+12,"The woman who competed on ""Dancing With the Stars"" with bionic legs tells her story.",ON MY OWN TWO FEET,Amy Purdy with Michelle Burford
15558,2/28/2015,3/15/2015,,,19.0,None,9.78149E+12,How Washington attained its reputation as dirty in multiple senses of the word.,EMPIRE OF MUD,JD Dickey
15576,3/19/2016,4/3/2016,,,2.0,62417428,9.78006E+12,"Bryson, with his sidekick ""Stephen Katz,"" retraces a youthful trip he made through Europe in the early '70s; first published in 1992.",NEITHER HERE NOR THERE,Bill Bryson
15588,3/19/2016,4/3/2016,,,4.0,316381853,9.78032E+12,"A mother tells the story of her once-sickly daughter, whose chronic ailments disappeared after a near-death experience.",MIRACLES FROM HEAVEN,Christy Beam
15620,3/19/2016,4/3/2016,,,9.0,544272889,9.78054E+12,"The life of Thomas Francis Meagher, an Irish revolutionary who fled to America and was active in Irish-American politics, becoming the general of New York’s Irish Brigade during the Civil War.",THE IMMORTAL IRISHMAN,Timothy Egan
15626,3/19/2016,4/3/2016,,,10.0,054761795X,9.78055E+12,The tragic story of the Kennedys’ intellectually disabled oldest daughter.,ROSEMARY,Kate Clifford Larson
15646,3/19/2016,4/3/2016,,,13.0,62417436,9.78006E+12,An affectionate and irreverent walking tour of Britain; first published in 1996.,NOTES FROM A SMALL ISLAND,Bill Bryson
15652,3/19/2016,4/3/2016,,,14.0,62066412,9.78006E+12,A personal account of the Army’s 10th Mountain Division’s heroic 16-months of nearly continuous combat in the mountains of Afghanistan.,OUTLAW PLATOON,Sean Parnell with John R Bruning
15658,3/19/2016,4/3/2016,,,15.0,62202618,9.78006E+12,"The cookbook writer and host of “Top Chef” traces her life’s journey, beginning in South India.","LOVE, LOSS, AND WHAT WE ATE",Padma Lakshmi
15683,3/19/2016,4/3/2016,,,19.0,1451635117,9.78145E+12,NBC’s chief foreign correspondent discusses the Arab Spring and war in the Middle East.,AND THEN ALL HELL BROKE LOOSE,Richard Engel
15689,3/19/2016,4/3/2016,,,20.0,038553941X,9.78039E+12,A sportswriter’s account of three famous basketball coaches and their rivalry.,THE LEGENDS CLUB,John Feinstein
15713,9/10/2011,9/25/2011,,,4.0,None,9.78142E+12,"A biography of Dietrich Bonhoeffer, a German pastor and theologian who was hanged for the role he played in the assassination plot against Hitler.",BONHOEFFER,Eric Metaxas
15779,9/10/2011,9/25/2011,,,13.0,None,9.7808E+12,"Marlantes, a Vietnam veteran, takes a personal look at the ordeals of combat and its aftermath.",WHAT IT IS LIKE TO GO TO WAR,Karl Marlantes
15791,9/10/2011,9/25/2011,,,15.0,1596981008,9.7816E+12,"The writer foresees Armageddon for the United States, which he maintains has caught up with Europe in the rush to self-destruction.",AFTER AMERICA,Mark Steyn
15803,9/10/2011,9/25/2011,,,17.0,307265722,9.78031E+12,The author says that ecological encounters since Columbus have affected subsequent human history.,1493,Charles C Mann
15809,9/10/2011,9/25/2011,,,18.0,1594202990,9.78159E+12,Fuller’s mother is at the center of this memoir set in Africa.,COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS,Alexandra Fuller
15870,10/28/2017,11/12/2017,,,8.0,1101986158,9.7811E+12,The memoir of a Muslim-American undercover agent for the F.B.I.’s counterterrorism unit.,AMERICAN RADICAL,Tamer Elnoury with Kevin Maurer
15876,10/28/2017,11/12/2017,,,9.0,1610397215,9.78161E+12,"How corruption, economic inequality and ethnic prejudices were early factors in the fall of the Roman Empire.",THE STORM BEFORE THE STORM,Mike Duncan
15898,10/28/2017,11/12/2017,,,12.0,1418525650,9.78142E+12,The unlikely friendship between a homeless drifter and a successful art dealer who meet at a shelter in Texas.,SAME KIND OF DIFFERENT AS ME,Ron Hall and Denver Moore with Lynn Vincent
