,results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
16689,4/2/2016,4/17/2016,,,19.0,031625875X,9.78032E+12,The mother of a young daughter with Type 1 diabetes tells how their lives changed with the arrival of a dog that detects low blood-sugar levels.,ELLE AND COACH,Stefany Shaheen with Mark Dagostino
16695,4/2/2016,4/17/2016,,,20.0,307951944,9.78031E+12,A woman heart surgeon's memoir. Originally published in 2010.,HEART MATTERS,Kathy E Magliato
16896,11/18/2017,12/3/2017,,,11.0,1478976713,9.78148E+12,The conservative radio host shares moments when he has experienced glimpses of the divine.,"GOD, FAITH, AND REASON",Michael Savage
16908,11/18/2017,12/3/2017,,,13.0,1616207825,9.78162E+12,A collection of essays that define the historical changes and essential institutions of America to suggest ways to overcome divisions within the country.,WHAT UNITES US,Dan Rather and Elliot Kirschner
16983,7/26/2014,8/10/2014,,,9.0,1594205191,9.78159E+12,The author’s experience as Harper Lee’s neighbor.,THE MOCKINGBIRD NEXT DOOR,Marja Mills
16997,7/26/2014,8/10/2014,,,11.0,307453294,9.78031E+12,The British ruse that employed a corpse to fool the Nazis about the invasion of Sicily.,OPERATION MINCEMEAT,Ben Macintyre
17009,7/26/2014,8/10/2014,,,13.0,62311239,9.78006E+12,"A view of how the family attained, lost and regained political power, from an editor of The Weekly Standard.","CLINTON, INC.",Daniel Halper
17048,7/26/2014,8/10/2014,,,19.0,62218336,9.78006E+12,"How to solve problems creatively, from the authors of “Freakonomics.”",THINK LIKE A FREAK,Steven D Levitt and Stephen J Dubner
17054,7/26/2014,8/10/2014,,,20.0,1497640199,9.7815E+12,Accounts of 12 Wall Street episodes that illuminate corporate and financial life in America.,BUSINESS ADVENTURES,John Brooks
17076,8/20/2016,9/4/2016,,,3.0,1630060585,9.78163E+12,The political strategist offers a game plan for how to defeat Hillary Clinton.,ARMAGEDDON,Dick Morris and Eileen McGann
17108,8/20/2016,9/4/2016,,,8.0,1455568872,9.78146E+12,A former Secret Service officer claims to have witnessed scandalous behavior by the Clintons.,CRISIS OF CHARACTER,Gary J Byrne with Grant M Schmidt
17114,8/20/2016,9/4/2016,,,9.0,1621573478,9.78162E+12,The conservative author and pundit warns of disaster if Hillary Clinton is elected president.,HILLARY'S AMERICA,Dinesh D'Souza
17120,8/20/2016,9/4/2016,,,10.0,385536712,9.78039E+12,"The story of Patty Hearst's kidnapping in 1974 by the Symbionese Liberation Army, her crimes and her trial.",AMERICAN HEIRESS,Jeffrey Toobin
17126,8/20/2016,9/4/2016,,,11.0,670785970,9.78067E+12,The white poor in American history.,WHITE TRASH,Nancy Isenberg
17152,8/20/2016,9/4/2016,,,15.0,006188507X,9.78006E+12,"A memoir of the author's experience at the Federal Medical Center in Carville, La.,where inmates and prison guards shared space with leprosy patients and public health workers. Originally published in 2009.",IN THE SANCTUARY OF OUTCASTS,Neil White
17158,8/20/2016,9/4/2016,,,16.0,1476798850,9.78148E+12,The author says progressive politicians gain power and control by exploiting Americans' fears.,LIARS,Glenn Beck
17164,8/20/2016,9/4/2016,,,17.0,1501132474,9.7815E+12,"A finalist on Season 18 of “The Bachelor,” later the star of Season 10 of “The Bachelorette,” talks about her experience.",IT'S NOT OKAY,Andi Dorfman
17293,5/26/2018,6/10/2018,,,15.0,1627794247,9.78163E+12,A New York Times journalist details the career and struggles of the actor and comedian Robin Williams.,ROBIN,Dave Itzkoff
17365,6/8/2019,6/23/2019,,,12.0,316480932,9.78032E+12,The Pulitzer Prize-winning columnist describes what he considers to be threats to conservatism.,THE CONSERVATIVE SENSIBILITY,George F Will
17389,7/23/2016,8/7/2016,Combined Print & E-Book Nonfiction,15.0,1.0,1501132849,9.7815E+12,"Personal essays, mostly humorous by the YouTube celebrity.",IT GETS WORSE,Shane Dawson
17463,7/23/2016,8/7/2016,,,13.0,1455531189,9.78146E+12,Humorous essays on being a woman by the head writer of “Inside Amy Schumer.”,YOU'LL GROW OUT OF IT,Jessi Klein
17469,7/23/2016,8/7/2016,,,14.0,1250106222,9.78125E+12,A retired general proposes a plan to defeat radical Islamist terrorism.,THE FIELD OF FIGHT,Michael T Flynn and Michael Ledeen
17483,7/23/2016,8/7/2016,,,16.0,1501147625,9.7815E+12,"In a follow-up to ""A Stolen Life,"" Dugard, who was kidnapped as a child and held for 18 years, describes her adjustment to a new life.",FREEDOM,Jaycee Dugard
17489,7/23/2016,8/7/2016,,,17.0,1250112508,9.78125E+12,The Fox News Channel personality describes nine key American virtues that he maintains are under attack by President Obama and Hillary Clinton.,WAKE UP AMERICA,Eric Bolling
17523,2/27/2016,3/13/2016,,,2.0,1594206562,9.78159E+12,A former C.I.A. director defends his policies.,PLAYING TO THE EDGE,Michael V Hayden
17529,2/27/2016,3/13/2016,,,3.0,1101902752,9.7811E+12,The mother of one of the Columbine shooters wrestles with her grief and guilt and discusses how parents can become more aware of the signs of mental illness in teenagers.,A MOTHER'S RECKONING,Sue Klebold
17541,2/27/2016,3/13/2016,,,5.0,1628721111,9.78163E+12,The relationship between Jack and Bobby. Originally published in 1999.,THE KENNEDY BROTHERS,Richard D Mahoney
17573,2/27/2016,3/13/2016,,,10.0,525429565,9.78053E+12,"A Wharton School professor argues that innovators are made, not born, and offers suggestions for how to become one.",ORIGINALS,Adam Grant
17593,2/27/2016,3/13/2016,,,13.0,61940577,9.78006E+12,Theodore Roosevelt's crusade for conservation. Originally published in 2009.,THE WILDERNESS WARRIOR,Douglas Brinkley
17625,2/27/2016,3/13/2016,,,18.0,1101967803,9.7811E+12,"The life story of a leader in the Black Muslim movement and his views on racism in American society. Read by Laurence Fishburne. 16 hours, 52 minutes unabridged.",THE AUTOBIOGRAPHY OF MALCOLM X,as told to Alex Haley
17631,2/27/2016,3/13/2016,,,19.0,006244428X,9.78006E+12,"An Arizona prosecutor describes building the case against Jodi Arias, who was found guilty of murdering her ex-boyfriend, Travis Alexander, in 2013.",CONVICTION,Juan Martinez
17637,2/27/2016,3/13/2016,,,20.0,62035037,9.78006E+12,"The story of George Scovell, whose decoding of enemy communications was pivotal in the British victory over Napoleon. Originally published in 2002.",THE MAN WHO BROKE NAPOLEON'S CODES,Mark Urban
17789,3/28/2015,4/12/2015,,,8.0,802198759,9.7808E+12,"A history of the king’s serial marriages, from Catherine of Aragon to Catherine Parr; first published in 1991.",THE SIX WIVES OF HENRY VIII,Alison Weir
17821,3/28/2015,4/12/2015,,,13.0,62333933,9.78006E+12,The author of “Infidel” and “Nomad” argues that fundamental doctrines of Islam must change for it to be compatible with democracy.,HERETIC,Ayaan Hirsi Ali
17833,3/28/2015,4/12/2015,,,15.0,62008560,9.78006E+12,The unexpected benefits of defying logic at work and at home.,THE UPSIDE OF IRRATIONALITY,Dan Ariely
17839,3/28/2015,4/12/2015,,,16.0,1455532703,9.78146E+12,The New York Times columnist urges students and their parents to give up the high-stakes competition for Ivy League admission and consider other types of schools and other measures of success.,WHERE YOU GO IS NOT WHO YOU'LL BE,Frank Bruni
17857,3/28/2015,4/12/2015,,,19.0,399174060,9.7804E+12,"A memoir by the ESPN anchor and commentator, who died of cancer in January 2015.",EVERY DAY I FIGHT,Stuart Scott with Larry Platt
17863,3/28/2015,4/12/2015,,,20.0,1476785074,9.78148E+12,,WHAT COMES NEXT AND HOW TO LIKE IT,Abigail Thomas
17869,8/29/2020,9/13/2020,Combined Print & E-Book Nonfiction,15.0,1.0,1984855026,9.78198E+12,"The Pulitzer Prize-winning biographer creates a portrait of Representative John Lewis, the late civil rights leader and congressman for Georgia’s Fifth Congressional District.",HIS TRUTH IS MARCHING ON,Jon Meacham
17875,8/29/2020,9/13/2020,,,2.0,1982142448,9.78198E+12,The CNN anchor and chief media correspondent examines the inner workings of Fox News and its relationship with President Trump.,HOAX,Brian Stelter
17949,8/29/2020,9/13/2020,,,14.0,802128815,9.7808E+12,"A collection of observational essays by the nature writer on themes of captivity, immigration and freedom.",VESPER FLIGHTS,Helen Macdonald
