"status","copyright","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250038821%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHUMANS%2BOF%2BNEW%2BYORK%2BBrandon%2BStanton%26aff%3DNYT",""
"","","","","","","","","","","","","","","5","0","0","0","0","0679456201","9780679456209","Random House","A memoir by the feminist writer and activist is also a history of the movement.","0.00","MY LIFE ON THE ROAD","Gloria Steinem","by Gloria Steinem","","https://storage.googleapis.com/du-prd/books/images/9780679456209.jpg","330","495","http://www.amazon.com/My-Life-Road-Gloria-Steinem/dp/0679456201?tag=NYTBSREV-20","","","","https://www.nytimes.com/2015/11/15/books/review/gloria-steinems-my-life-on-the-road.html","","0679456201","9780679456209","Amazon","http://www.amazon.com/My-Life-Road-Gloria-Steinem/dp/0679456201?tag=NYTBSREV-20","nyt://book/d422cebd-a118-5e4d-8cfa-c230ddd954d7"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0812988353","9780812988352","Apple Books","https://goto.applebooks.apple/9780679456209?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0399567275","9780399567278","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780679456209",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0147522404","9780147522405","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FMY%252BLIFE%252BON%252BTHE%252BROAD%252FGloria%252BSteinem%252F9780679456209&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DMY%252BLIFE%252BON%252BTHE%252BROAD%252BGloria%252BSteinem",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0345408160","9780345408167","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780679456209&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DMY%2BLIFE%2BON%2BTHE%2BROAD",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780679456209%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DMY%2BLIFE%2BON%2BTHE%2BROAD%2BGloria%2BSteinem%26aff%3DNYT",""
"","","","","","","","","","","","","","","6","0","0","0","0","1579129854","9781579129859","Black Dog & Leventhal","The story behind nearly every studio song, 492 of them, from the early 1960s to 2015.","0.00","BOB DYLAN: ALL THE SONGS","Philippe Margotin and Jean-Michel Guesdon","by Philippe Margotin and Jean-Michel Guesdon","","https://storage.googleapis.com/du-prd/books/images/9781579129859.jpg","330","420","http://www.amazon.com/Bob-Dylan-Songs-Story-Behind/dp/1579129854?tag=NYTBSREV-20","","","","","","1579129854","9781579129859","Amazon","http://www.amazon.com/Bob-Dylan-Songs-Story-Behind/dp/1579129854?tag=NYTBSREV-20","nyt://book/f973d196-3972-571f-84ae-700e3dae1b75"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0316353531","9780316353533","Apple Books","https://goto.applebooks.apple/9781579129859?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781579129859",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBOB%252BDYLAN%25253A%252BALL%252BTHE%252BSONGS%252FPhilippe%252BMargotin%252Band%252BJean-Michel%252BGuesdon%252F9781579129859&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBOB%252BDYLAN%25253A%252BALL%252BTHE%252BSONGS%252BPhilippe%252BMargotin%252Band%252BJean-Michel%252BGuesdon",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781579129859&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBOB%2BDYLAN%253A%2BALL%2BTHE%2BSONGS",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781579129859%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBOB%2BDYLAN%253A%2BALL%2BTHE%2BSONGS%2BPhilippe%2BMargotin%2Band%2BJean-Michel%2BGuesdon%26aff%3DNYT",""
"","","","","","","","","","","","","","","7","0","0","0","0","1419718185","9781419718182","Abrams","The most important rap song from every year since 1979, discussed, debated and deconstructed.","0.00","THE RAP YEAR BOOK","Shea Serrano and Arturo Torres","by Shea Serrano and Arturo Torres","","https://storage.googleapis.com/du-prd/books/images/9781419718182.jpg","330","396","http://www.amazon.com/The-Rap-Year-Book-Deconstructed/dp/1419718185?tag=NYTBSREV-20","","","","","","1419718185","9781419718182","Amazon","http://www.amazon.com/The-Rap-Year-Book-Deconstructed/dp/1419718185?tag=NYTBSREV-20","nyt://book/02b3d53c-c546-5987-bc83-11c6302fbf25"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://goto.applebooks.apple/9781419718182?at=10lIEQ",""
