"status","copyright","errors__001","errors__002","num_results","last_modified","results__list_name","results__list_name_encoded","results__bestsellers_date","results__published_date","results__published_date_description","results__next_published_date","results__previous_published_date","results__display_name","results__normal_list_ends_at","results__updated","results__books__rank","results__books__rank_last_week","results__books__weeks_on_list","results__books__asterisk","results__books__dagger","results__books__primary_isbn10","results__books__primary_isbn13","results__books__publisher","results__books__description","results__books__price","results__books__title","results__books__author","results__books__contributor","results__books__contributor_note","results__books__book_image","results__books__book_image_width","results__books__book_image_height","results__books__amazon_product_url","results__books__age_group","results__books__book_review_link","results__books__first_chapter_link","results__books__sunday_review_link","results__books__article_chapter_link","results__books__isbns__isbn10","results__books__isbns__isbn13","results__books__buy_links__name","results__books__buy_links__url","results__books__book_uri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1455540838","9781455540839","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781455566389",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1478918217","9781478918219","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTRIBE%252FSebastian%252BJunger%252F9781455566389&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTRIBE%252BSebastian%252BJunger",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781455566389&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTRIBE",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781455566389%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTRIBE%2BSebastian%2BJunger%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","5","0","0","0","0","0062439650","9780062439659","Harper","The 10 first ladies since 1960, based on interviews with White House staff, social secretaries and friends, by the author of ""The Residence.""","0.00","FIRST WOMEN","Kate Andersen Brower","by Kate Andersen Brower","","https://storage.googleapis.com/du-prd/books/images/9780062439673.jpg","328","495","http://www.amazon.com/First-Women-Americas-Modern-Ladies-ebook/dp/B011IT5C3Q?tag=NYTBSREV-20","","","","","","0062439650","9780062439659","Amazon","http://www.amazon.com/First-Women-Americas-Modern-Ladies-ebook/dp/B011IT5C3Q?tag=NYTBSREV-20","nyt://book/78d75586-dbea-536a-b2fe-ff1e9a2b9913"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0062439677","9780062439673","Apple Books","https://goto.applebooks.apple/9780062439659?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062439659",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FFIRST%252BWOMEN%252FKate%252BAndersen%252BBrower%252F9780062439659&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DFIRST%252BWOMEN%252BKate%252BAndersen%252BBrower",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062439659&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DFIRST%2BWOMEN",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062439659%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DFIRST%2BWOMEN%2BKate%2BAndersen%2BBrower%26aff%3DNYT",""
"","","","","","","","","","","","","","","","","6","0","0","0","1","1627797890","9781627797894","Holt","Stories of the American Revolution; a companion volume to the Fox News series.","0.00","BILL O'REILLY'S LEGENDS AND LIES: THE PATRIOTS","David Fisher","by David Fisher","","https://storage.googleapis.com/du-prd/books/images/9781627797894.jpg","330","401","http://www.amazon.com/Bill-OReillys-Legends-Lies-Patriots/dp/1627797890?tag=NYTBSREV-20","","","","","","1627797890","9781627797894","Amazon","http://www.amazon.com/Bill-OReillys-Legends-Lies-Patriots/dp/1627797890?tag=NYTBSREV-20","nyt://book/f970a1f3-9a48-59c5-ac0e-13ae55f2830b"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1627797882","9781627797887","Apple Books","https://goto.applebooks.apple/9781627797894?at=10lIEQ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142727570X","9781427275707","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781627797894",""
