"status","copyright","num_results","results__bestsellers_date","results__published_date","results__published_date_description","results__previous_published_date","results__next_published_date","results__lists__list_id","results__lists__list_name","results__lists__list_name_encoded","results__lists__display_name","results__lists__updated","results__lists__list_image","results__lists__list_image_width","results__lists__list_image_height","results__lists__books__age_group","results__lists__books__amazon_product_url","results__lists__books__article_chapter_link","results__lists__books__author","results__lists__books__book_image","results__lists__books__book_image_width","results__lists__books__book_image_height","results__lists__books__book_review_link","results__lists__books__contributor","results__lists__books__contributor_note","results__lists__books__created_date","results__lists__books__description","results__lists__books__first_chapter_link","results__lists__books__price","results__lists__books__primary_isbn10","results__lists__books__primary_isbn13","results__lists__books__book_uri","results__lists__books__publisher","results__lists__books__rank","results__lists__books__rank_last_week","results__lists__books__sunday_review_link","results__lists__books__title","results__lists__books__updated_date","results__lists__books__weeks_on_list","results__lists__books__buy_links__name","results__lists__books__buy_links__url"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316499422&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BRED%2BBOOK"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316499422%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BRED%2BBOOK%2BJames%2BPatterson%2Band%2BDavid%2BEllis%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/dp/1250178606?tag=NYTBSREV-20","","Kristin Hannah","https://storage.googleapis.com/du-prd/books/images/9781250178602.jpg","329","500","","by Kristin Hannah","","2021-04-07 22:13:25","As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.","","0.00","1250178606","9781250178602","nyt://book/c34834c6-f957-5b0b-8fd7-abd9c35eebed","St. Martin's","3","1","","THE FOUR WINDS","2021-04-07 22:17:38","9","Amazon","https://www.amazon.com/dp/1250178606?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+FOUR+WINDS&author=Kristin+Hannah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250178602"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BFOUR%252BWINDS%252FKristin%252BHannah%252F9781250178602&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BFOUR%252BWINDS%252BKristin%252BHannah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250178602&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BFOUR%2BWINDS"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250178602%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BFOUR%2BWINDS%2BKristin%2BHannah%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20","","Matt Haig","https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg","331","500","","by Matt Haig","","2021-04-07 22:13:25","Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.","","0.00","0525559477","9780525559474","nyt://book/60d0ee2d-3d05-50c9-a484-050d17a2308e","Viking","4","7","","THE MIDNIGHT LIBRARY","2021-04-07 22:17:38","18","Amazon","https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+MIDNIGHT+LIBRARY&author=Matt+Haig"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525559474"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BMIDNIGHT%252BLIBRARY%252FMatt%252BHaig%252F9780525559474&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BMIDNIGHT%252BLIBRARY%252BMatt%252BHaig"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525559474&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BMIDNIGHT%2BLIBRARY"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525559474%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BMIDNIGHT%2BLIBRARY%2BMatt%2BHaig%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20","","Delia Owens","https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg","328","495","","by Delia Owens","","2021-04-07 22:13:25","In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.","","0.00","0735219109","9780735219106","nyt://book/08a5730d-43e5-586d-8ce6-4b891eb75fe1","Putnam","5","0","","WHERE THE CRAWDADS SING","2021-04-07 22:17:38","124","Amazon","https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=WHERE+THE+CRAWDADS+SING&author=Delia+Owens"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780735219106"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWHERE%252BTHE%252BCRAWDADS%252BSING%252FDelia%252BOwens%252F9780735219106&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWHERE%252BTHE%252BCRAWDADS%252BSING%252BDelia%252BOwens"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780735219106&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DWHERE%2BTHE%2BCRAWDADS%2BSING"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780735219106%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWHERE%2BTHE%2BCRAWDADS%2BSING%2BDelia%2BOwens%26aff%3DNYT"
"","","","","","","","","708","Combined Print and E-Book Nonfiction","combined-print-and-e-book-nonfiction","Combined Print & E-Book Nonfiction","WEEKLY","null","null","null","","https://www.amazon.com/dp/1982115858?tag=NYTBSREV-20","","Walter Isaacson","https://storage.googleapis.com/du-prd/books/images/9781982115852.jpg","329","500","","by Walter Isaacson","","2021-04-07 22:13:26","How the Nobel Prize winner Jennifer Doudna and her colleagues invented CRISPR, a tool that can edit DNA.","","0.00","1982115858","9781982115852","nyt://book/c1e67281-ccaa-5cb6-9558-dc0f08a600fc","Simon & Schuster","1","1","","THE CODE BREAKER","2021-04-07 22:17:38","4","Amazon","https://www.amazon.com/dp/1982115858?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+CODE+BREAKER&author=Walter+Isaacson"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982115852"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BCODE%252BBREAKER%252FWalter%252BIsaacson%252F9781982115852&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BCODE%252BBREAKER%252BWalter%252BIsaacson"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781982115852&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BCODE%2BBREAKER"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781982115852%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BCODE%2BBREAKER%2BWalter%2BIsaacson%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20","","Matthew McConaughey","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg","392","500","","by Matthew McConaughey","","2021-04-07 22:13:26","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","","0.00","0593139135","9780593139134","nyt://book/a13e8e1e-0fdd-5551-925b-d89690f4eb37","Crown","2","2","","GREENLIGHTS","2021-04-07 22:17:38","24","Amazon","https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=GREENLIGHTS&author=Matthew+McConaughey"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593139134"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FGREENLIGHTS%252FMatthew%252BMcConaughey%252F9780593139134&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DGREENLIGHTS%252BMatthew%252BMcConaughey"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593139134&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DGREENLIGHTS"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593139134%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DGREENLIGHTS%2BMatthew%2BMcConaughey%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/dp/0525656766?tag=NYTBSREV-20","","Sharon Stone","https://storage.googleapis.com/du-prd/books/images/9780525656760.jpg","350","500","","by Sharon Stone","","2021-04-07 22:13:26","The actress and human rights activist recounts her childhood difficulties and biggest accomplishments.","","0.00","0525656766","9780525656760","nyt://book/ddc62032-fc9c-5199-b28a-2fdffb424885","Knopf","3","0","","THE BEAUTY OF LIVING TWICE","2021-04-07 22:17:38","1","Amazon","https://www.amazon.com/dp/0525656766?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+BEAUTY+OF+LIVING+TWICE&author=Sharon+Stone"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525656760"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBEAUTY%252BOF%252BLIVING%252BTWICE%252FSharon%252BStone%252F9780525656760&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBEAUTY%252BOF%252BLIVING%252BTWICE%252BSharon%252BStone"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525656760&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BBEAUTY%2BOF%2BLIVING%2BTWICE"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525656760%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBEAUTY%2BOF%2BLIVING%2BTWICE%2BSharon%2BStone%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20","","Bessel van der Kolk","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg","128","193","","by Bessel van der Kolk","","2021-04-07 22:13:26","How trauma affects the body and mind, and innovative treatments for recovery.","","0.00","0143127748","9780143127741","nyt://book/e3e33e9d-0e67-5fec-b0d2-2ecddc38ce0e","Penguin","4","3","","THE BODY KEEPS THE SCORE","2021-04-07 22:17:39","32","Amazon","http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+BODY+KEEPS+THE+SCORE&author=Bessel+van+der+Kolk"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143127741"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252FBessel%252Bvan%252Bder%252BKolk%252F9780143127741&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252BBessel%252Bvan%252Bder%252BKolk"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143127741&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143127741%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE%2BBessel%2Bvan%2Bder%2BKolk%26aff%3DNYT"
"","","","","","","","","","","","","","","","","","https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20","","Isabel Wilkerson","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg","330","500","","by Isabel Wilkerson","","2021-04-07 22:13:26","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","","0.00","0593230256","9780593230251","nyt://book/970c3c3d-b5b3-5cf4-bd49-fa2e441babb7","Random House","5","4","","CASTE","2021-04-07 22:17:39","35","Amazon","https://www.amazon.com/dp/0593230256?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=CASTE&author=Isabel+Wilkerson"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barnes and Noble","https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593230251"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Books-A-Million","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FCASTE%252FIsabel%252BWilkerson%252F9780593230251&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DCASTE%252BIsabel%252BWilkerson"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bookshop","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593230251&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Fkeywords%3DCASTE"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndieBound","https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593230251%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DCASTE%2BIsabel%2BWilkerson%26aff%3DNYT"
"","","","","","","","","1","Hardcover Fiction","hardcover-fiction","Hardcover Fiction","WEEKLY","null","null","null","","https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20","","Amanda Gorman","https://storage.googleapis.com/du-prd/books/images/9780593465271.jpg","362","500","","by Amanda Gorman","","2021-04-07 22:13:19","The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem.","","0.00","059346527X","9780593465271","nyt://book/a95afb91-235c-578c-847a-a98d0af7b6a0","Viking","1","0","","THE HILL WE CLIMB","2021-04-07 22:17:32","1","Amazon","https://www.amazon.com/dp/059346527X?tag=NYTBSREV-20"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Apple Books","https://du-gae-books-dot-nyt-du-prd.appspot.com/buy?title=THE+HILL+WE+CLIMB&author=Amanda+Gorman"
