results__list_name,results__bestsellers_date,results__published_date,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,5,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,6,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,7,1603094024,9.78E+12,"Representative John Lewis of Georgia concludes his memoir of the civil rights movement in this volume, which depicts the Selma March.",MARCH: BOOK THREE,John Lewis and Andrew Aydin
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,8,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,9,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society and include references to recent events.,CITIZEN,Claudia Rankine
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,10,1618931717,9.78E+12,"The retired basketball legend shares his views and personal experiences of the racial, religious and political divide, as experienced on and off the court, and his thoughts on solutions.",WRITINGS ON THE WALL,Kareem Abdul-Jabbar and Raymond Obstfeld
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,9/24/2016,10/9/2016,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,1,,9.78E+12,The investigation of a young black man’s murder in 2007 raises questions about race and the criminal justice system.,GHETTOSIDE,Jill Leovy
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,2,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,3,1476749051,9.78E+12,Humorous essays on what it is like to be awkward in a world that glorifies cool.,MISADVENTURES OF AWKWARD BLACK GIRL,Issa Rae
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,4,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,5,812993578,9.78E+12,"A man's quest for a meaningful life through critical moments and places in recent history, from Afghanistan to the White House and Wall Street.",THE WORK,Wes Moore
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,6,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,7,1480476889,9.78E+12,"The narrative, first published in 1853, of a freeman who was sold into slavery and spent 12 years in bondage before escaping. The basis of the movie.",TWELVE YEARS A SLAVE,Solomon Northup
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,8,393244075,9.78E+12,"A history of the Underground Railroad, the network that spirited slaves to freedom in the decades before the Civil War.",GATEWAY TO FREEDOM,Eric Foner
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,9,316332763,9.78E+12,The story of Dr. Martin Luther King's final year.,DEATH OF A KING,Tavis Smiley with David Ritz
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,10,374534985,9.78E+12,"Four undocumented teenagers, one ugly robot and the battle for the American Dream.",SPARE PARTS,Joshua Davis
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,11,812994523,9.78E+12,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,12,147673190X,9.78E+12,The story of a brilliant young man from a New Jersey ghetto who graduated from Yale but was murdered as a drug dealer at age 30.,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,13,62198858,9.78E+12,,EYE ON THE STRUGGLE,James McGrath Morris
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,14,826520235,9.78E+12,"A biography of Perry Wallace, the first African American basketball player in the SEC and a look at the collision of race and sports in the South.",STRONG INSIDE,Andrew Maraniss
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,15,1416948821,9.78E+12,"The memoir of the 1957 battle to integrate Little Rock's Central High School, by one of the nine students who did so.",WARRIORS DON'T CRY,Melba Pattillo Beals
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,2/28/2015,3/15/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,2,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,3,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,4,62203584,9.78E+12,"The Nobel laureate Archbishop Desmond Tutu and his daughter offer a handbook on seeking, giving and accepting forgiveness: a practice they believe is a powerful tool toward renewing and releasing all relationships at home and in the world.",THE BOOK OF FORGIVING,Desmond Tutu
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,5,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,6,1476731918,9.78E+12,The story of a brilliant young man from a New Jersey ghetto who graduated from Yale but was murdered as a drug dealer at age 30.,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,7,385529996,9.78E+12,The investigation of a young black man’s murder in 2007 raises questions about race and the criminal justice system.,GHETTOSIDE,Jill Leovy
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,8,1250044634,9.78E+12,A doctor reflects on race and medicine.,BLACK MAN IN A WHITE COAT,Damon Tweedy
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,9,307378454,9.78E+12,A memoir by the Pulitzer Prize-winning critic explores the complications of life as a member of Chicago's black elite.,NEGROLAND,Margo Jefferson
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,10,1619025736,9.78E+12,"The paths of free and enslaved Africans are part of the memory, history, and constructs of race and of race relations in the American landscape.",TRACE,Lauret Savoy
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,11/28/2015,12/13/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,1,1595586431,9.78E+12,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,2,812994523,9.78E+12,The executive director of the Equal Justice Initiative in Alabama describes his work in defense of poor people and the unjustly accused.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,3,1590793099,9.78E+12,A Constitutional attorney describes a nation on the verge of undermining the basic freedoms guaranteed to the citizenry in the Constitution.,BATTLEFIELD AMERICA,John W Whitehead
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,4,1555976905,9.78E+12,Prose poems examine the experience of race and racism in our fractured society.,CITIZEN,Claudia Rankine
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,5,1603093001,9.78E+12,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,6,812993578,9.78E+12,"A man's quest for a meaningful life through critical moments and places in recent history, from Afghanistan to the White House and Wall Street.",THE WORK,Wes Moore
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,7,1416948821,9.78E+12,"The memoir of the 1957 battle to integrate Little Rock's Central High School, by one of the nine students who did so.",WARRIORS DON'T CRY,Melba Pattillo Beals
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,8,385528205,9.78E+12,"A tale of two Wes Moores: the author, a Rhodes scholar; the other, a man in prison.",THE OTHER WES MOORE,Wes Moore
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,9,143125419,9.78E+12,"The narrative, first published in 1853, of a freeman who was sold into slavery and spent 12 years in bondage before escaping. The basis of the movie.",TWELVE YEARS A SLAVE,Solomon Northup
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,10,345511018,9.78E+12,"The memoir of the youngest of the Little Rock Nine, who integrated Little Rock Central High School in 1951.",A MIGHTY LONG WAY,Carlotta Walls Lanier
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,11,1603094008,9.78E+12,"Representative John Lewis of Georgia continues his memoir of the civil rights movement. In this volume, he recounts the March on Washington in 1963, among other events.",MARCH: BOOK TWO,John Lewis and Andrew Aydin
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,12,307962660,9.78E+12,,ORDINARY LIGHT,Tracy K Smith
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,13,1594204292,9.78E+12,Domestic terrorism and the radical underground movement in 1970s-era America.,DAYS OF RAGE,Bryan Burrough
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,14,393339726,9.78E+12,How stereotypes affect us and what we can do about it.,WHISTLING VIVALDI,Claude M Steele
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,15,1615192530,9.78E+12,"A German-Nigerian woman discovers that her grandfather was Amon Goeth, the ruthless Nazi commandant depicted in ""Schindler's List.""",MY GRANDFATHER WOULD HAVE SHOT ME,Jennifer Teege and Nikola Sellmair
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,5/30/2015,6/14/2015,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,1,812993543,9.78E+12,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son. Winner of the National Book Award.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,2,081298496X,9.78E+12,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
Race and Civil Rights,6/25/2016,7/10/2016,,,,,,
