Book Name,Author,Rating,Customers_Rated,Price,Link
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"21,587",$14.99,/48-Laws-Power-Robert-Greene/dp/0140280197/ref=zg_bsar_books_41/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7 out of 5 stars,"22,032",$14.29,/Intelligent-Investor-Definitive-Investing-Essentials/dp/0060555661/ref=zg_bsar_books_42/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Beyond Order: 12 More Rules for Life,Jordan B. Peterson,4.9 out of 5 stars,"2,716",$17.40,/Beyond-Order-More-Rules-Life/dp/0593084640/ref=zg_bsar_books_43/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"46,240",$10.00,/Rich-Dad-Poor-Teach-Middle/dp/1612680178/ref=zg_bsar_books_44/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
The Invisible Life of Addie LaRue,V. E. Schwab,4.6 out of 5 stars,"21,209",$16.19,/Invisible-Life-Addie-LaRue/dp/0765387565/ref=zg_bsar_books_45/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s…",Lysa TerKeurst,4.8 out of 5 stars,"10,575",$16.19,/Forgiving-What-You-Cant-Forget/dp/0718039874/ref=zg_bsar_books_46/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss,4.9 out of 5 stars,"9,354",$5.23,/One-Fish-Blue-Read-Myself/dp/0394800133/ref=zg_bsar_books_47/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7 out of 5 stars,"1,090",$21.00,/Code-Breaker-Jennifer-Doudna-Editing/dp/1982115858/ref=zg_bsar_books_48/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
They Both Die at the End,Adam Silvera,4.7 out of 5 stars,"8,653",$8.37,/They-Both-Die-at-End/dp/0062457802/ref=zg_bsar_books_49/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
Llama Llama I Love You,Anna Dewdney,4.8 out of 5 stars,"7,026",$5.68,/Llama-I-Love-You/dp/045146981X/ref=zg_bsar_books_50/147-1191553-6776524?_encoding=UTF8&psc=1&refRID=D05G28TA2V5VG6F1CDWE
